path	type	ext	size_bytes	executable	shebang	first_line
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T061839Z/_run.log	file	log	213	no	no	outdir=/data/data/com.termux/files/home/storage/shared/net_evidence_20260115T061839Z
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T061839Z/summary.txt	file	txt	32	no	no	=== summary (computed Mbps) ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T061839Z/state.txt	file	txt	10283	no	no	=== date -u ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T061839Z/probes.txt	file	txt	27	no	no	iface= SKIP(no inet/inet6)
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T062851Z/_run.log	file	log	213	no	no	outdir=/data/data/com.termux/files/home/storage/shared/net_evidence_20260115T062851Z
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T062851Z/summary.txt	file	txt	32	no	no	=== summary (computed Mbps) ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T062851Z/state.txt	file	txt	10283	no	no	=== date -u ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T062851Z/probes.txt	file	txt	27	no	no	iface= SKIP(no inet/inet6)
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T063331Z/_run.log	file	log	417	no	no	outdir=/data/data/com.termux/files/home/storage/shared/net_evidence_20260115T063331Z
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T063331Z/summary.txt	file	txt	32	no	no	=== summary (computed Mbps) ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T063331Z/state.txt	file	txt	11417	no	no	=== date -u ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T063331Z/probes.txt	file	txt	821	no	no	=== iface= ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T063903Z/_run.log	file	log	417	no	no	outdir=/data/data/com.termux/files/home/storage/shared/net_evidence_20260115T063903Z
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T063903Z/summary.txt	file	txt	32	no	no	=== summary (computed Mbps) ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T063903Z/state.txt	file	txt	11417	no	no	=== date -u ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T063903Z/probes.txt	file	txt	821	no	no	=== iface= ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T064054Z/_run.log	file	log	417	no	no	outdir=/data/data/com.termux/files/home/storage/shared/net_evidence_20260115T064054Z
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T064054Z/summary.txt	file	txt	32	no	no	=== summary (computed Mbps) ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T064054Z/state.txt	file	txt	11417	no	no	=== date -u ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T064054Z/probes.txt	file	txt	821	no	no	=== iface= ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T064130Z/_run.log	file	log	417	no	no	outdir=/data/data/com.termux/files/home/storage/shared/net_evidence_20260115T064130Z
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T064130Z/summary.txt	file	txt	32	no	no	=== summary (computed Mbps) ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T064130Z/state.txt	file	txt	11417	no	no	=== date -u ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T064130Z/probes.txt	file	txt	821	no	no	=== iface= ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T065405Z/_run.log	file	log	417	no	no	outdir=/data/data/com.termux/files/home/storage/shared/net_evidence_20260115T065405Z
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T065405Z/summary.txt	file	txt	32	no	no	=== summary (computed Mbps) ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T065405Z/state.txt	file	txt	11413	no	no	=== date -u ===
/storage/emulated/0/Verizon_Public_Case/core/net_evidence_core/net_evidence_20260115T065405Z/probes.txt	file	txt	821	no	no	=== iface= ===
/storage/emulated/0/Verizon_Public_Case/core/pcap_summaries/PCAPBOTH.txt	file	txt	2219	no	no	POST /api/data?sv=hw-2.4.0&tk=KKbQsFivnOQYa%2BNyTwv5ng%3D%3D&token=1811dde5e9bfe2a6fb714400ed6b12afb7d51e45ab5485d04db00b86aac3093a HTTP/1.1 
/storage/emulated/0/Verizon_Public_Case/core/pcap_summaries/PCAPBoth1.txt	file	txt	538	no	no	HTTP/1.1 200 OK 
/storage/emulated/0/Verizon_Public_Case/core/pcap_summaries/PCAPdroid_14_Aug_11_30_02.csv	file	csv	18477	no	no	IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
/storage/emulated/0/Verizon_Public_Case/raw_candidates/evidence_telereg_20260115T071837Z.txt	file	txt	131357	no	no	source=/data/data/com.termux/files/home/telereg_summary_20260115T070246Z.txt
/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/net_evidence_20260115T065405Z/dumpsys_connectivity_rish.redacted.txt	file	txt	214532	no	no	NetworkProviders for:
/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/net_evidence_20260115T065405Z/rish_ip.redacted.txt	file	txt	10321	no	no	uid=2000(shell) gid=2000(shell) groups=2000(shell),1004(input),1007(log),1011(adb),1015(sdcard_rw),1028(sdcard_r),1078(ext_data_rw),1079(ext_obb_rw),3001(net_bt_admin),3002(net_bt),3003(inet),3006(net_bw_stats),3009(readproc),3011(uhid),3012(readtracefs) context=u:r:shell:s0
/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/net_evidence_20260115T065405Z/README.md	doc	md	678	no	no	# Redacted network evidence
