IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,1900,239.255.255.250,1900,-1,Unknown,unknown,SSDP,Closed,,1152,0,9,0,2025-08-14T03:54:09.723-05:00,2025-08-14T03:55:21.707-05:00,
17,10.215.173.1,52492,239.255.255.250,1900,-1,Unknown,unknown,SSDP,Closed,,1152,0,9,0,2025-08-14T03:54:09.732-05:00,2025-08-14T03:55:21.708-05:00,
17,10.215.173.1,55501,67.215.246.10,6881,-1,Unknown,unknown,BitTorrent,Closed,,894,3084,6,6,2025-08-14T03:54:11.165-05:00,2025-08-14T03:54:11.258-05:00,
17,10.215.173.1,55501,87.98.162.88,6881,-1,Unknown,unknown,BitTorrent,Closed,,894,2303,6,6,2025-08-14T03:54:11.169-05:00,2025-08-14T03:54:11.307-05:00,
17,10.215.173.1,55501,185.157.221.247,25401,-1,Unknown,unknown,BitTorrent,Closed,,894,850,6,4,2025-08-14T03:54:11.172-05:00,2025-08-14T03:54:11.316-05:00,
17,10.215.173.1,55501,212.129.33.59,6881,-1,Unknown,unknown,BitTorrent,Error,,894,0,6,0,2025-08-14T03:54:11.175-05:00,2025-08-14T03:54:11.177-05:00,
17,10.215.173.1,55501,79.218.97.186,54119,-1,Unknown,unknown,BitTorrent,Unreachable,,132,0,1,0,2025-08-14T03:54:11.246-05:00,2025-08-14T03:54:11.246-05:00,
17,10.215.173.1,55501,86.145.144.43,47823,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:11.250-05:00,2025-08-14T03:54:11.424-05:00,
17,10.215.173.1,55501,5.253.103.93,1566,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:11.253-05:00,2025-08-14T03:54:11.452-05:00,
17,10.215.173.1,55501,190.151.239.142,52529,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:11.254-05:00,2025-08-14T03:54:11.455-05:00,
17,10.215.173.1,55501,46.42.20.30,2312,-1,Unknown,unknown,BitTorrent,Closed,,132,333,1,1,2025-08-14T03:54:11.256-05:00,2025-08-14T03:54:11.446-05:00,
17,10.215.173.1,55501,122.192.133.252,6886,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:11.426-05:00,2025-08-14T03:54:11.659-05:00,
17,10.215.173.1,55501,37.111.213.21,19011,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:11.462-05:00,2025-08-14T03:54:11.941-05:00,
17,10.215.173.1,55501,177.227.48.205,3127,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:11.465-05:00,2025-08-14T03:54:11.545-05:00,
17,10.215.173.1,55501,114.230.88.54,8000,-1,Unknown,unknown,BitTorrent,Closed,,132,303,1,1,2025-08-14T03:54:11.467-05:00,2025-08-14T03:54:11.966-05:00,
17,10.215.173.1,55501,45.135.93.253,23926,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:11.547-05:00,2025-08-14T03:54:11.547-05:00,
17,10.215.173.1,55501,31.135.53.218,1803,-1,Unknown,unknown,BitTorrent,Closed,,132,334,1,1,2025-08-14T03:54:11.661-05:00,2025-08-14T03:54:11.900-05:00,
17,10.215.173.1,55501,42.4.23.164,8000,-1,Unknown,unknown,BitTorrent,Closed,,264,303,2,1,2025-08-14T03:54:16.131-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,218.39.14.34,41963,-1,Unknown,unknown,BitTorrent,Closed,,264,0,2,0,2025-08-14T03:54:21.161-05:00,2025-08-14T03:54:26.541-05:00,
17,10.215.173.1,55501,177.181.6.128,21116,-1,Unknown,unknown,BitTorrent,Error,,264,0,2,0,2025-08-14T03:54:26.145-05:00,2025-08-14T03:54:26.465-05:00,
17,10.215.173.1,55501,188.243.254.93,58988,-1,Unknown,unknown,BitTorrent,Closed,,132,345,1,1,2025-08-14T03:54:26.335-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,178.162.174.138,28000,-1,Unknown,unknown,BitTorrent,Closed,,132,320,1,1,2025-08-14T03:54:26.338-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,212.79.110.120,15048,-1,Unknown,unknown,BitTorrent,Error,,132,0,1,0,2025-08-14T03:54:26.340-05:00,2025-08-14T03:54:26.340-05:00,
17,10.215.173.1,55501,176.210.71.249,35226,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.348-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,61.130.128.60,50432,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.357-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,152.58.34.74,39071,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.365-05:00,2025-08-14T03:54:26.365-05:00,
17,10.215.173.1,55501,131.108.161.146,51964,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.368-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,89.149.200.92,28027,-1,Unknown,unknown,BitTorrent,Closed,,132,320,1,1,2025-08-14T03:54:26.370-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,46.232.210.221,64035,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.372-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,94.232.25.134,14885,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.376-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,175.164.191.58,51413,-1,Unknown,unknown,BitTorrent,Closed,,132,311,1,1,2025-08-14T03:54:26.379-05:00,2025-08-14T03:54:26.623-05:00,
17,10.215.173.1,55501,186.195.255.191,47753,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.386-05:00,2025-08-14T03:54:26.386-05:00,
17,10.215.173.1,55501,112.120.30.108,57274,-1,Unknown,unknown,BitTorrent,Closed,,132,343,1,1,2025-08-14T03:54:26.392-05:00,2025-08-14T03:54:26.624-05:00,
17,10.215.173.1,55501,122.191.105.90,7582,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.398-05:00,2025-08-14T03:54:26.398-05:00,
17,10.215.173.1,55501,5.128.60.95,9834,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.404-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,93.133.93.18,44545,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.409-05:00,2025-08-14T03:54:26.409-05:00,
17,10.215.173.1,55501,217.79.178.198,51413,-1,Unknown,unknown,BitTorrent,Closed,,132,311,1,1,2025-08-14T03:54:26.412-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,95.214.53.172,1688,-1,Unknown,unknown,BitTorrent,Closed,,132,95,1,1,2025-08-14T03:54:26.416-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,5.18.251.49,8531,-1,Unknown,unknown,BitTorrent,Closed,,132,316,1,1,2025-08-14T03:54:26.420-05:00,2025-08-14T03:54:26.610-05:00,
17,10.215.173.1,55501,201.40.211.36,43785,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.428-05:00,2025-08-14T03:54:26.622-05:00,
17,10.215.173.1,55501,193.233.241.110,6881,-1,Unknown,unknown,BitTorrent,Closed,,132,332,1,1,2025-08-14T03:54:26.432-05:00,2025-08-14T03:54:26.614-05:00,
17,10.215.173.1,55501,90.188.106.187,37383,-1,Unknown,unknown,BitTorrent,Closed,,132,345,1,1,2025-08-14T03:54:26.434-05:00,2025-08-14T03:54:26.655-05:00,
17,10.215.173.1,55501,181.9.211.10,55586,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.436-05:00,2025-08-14T03:54:26.855-05:00,
17,10.215.173.1,55501,207.180.192.206,11867,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.441-05:00,2025-08-14T03:54:26.441-05:00,
17,10.215.173.1,55501,175.207.136.172,7853,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.446-05:00,2025-08-14T03:54:26.670-05:00,
17,10.215.173.1,55501,87.126.189.128,8162,-1,Unknown,unknown,BitTorrent,Closed,,132,345,1,1,2025-08-14T03:54:26.449-05:00,2025-08-14T03:54:26.616-05:00,
17,10.215.173.1,55501,173.249.4.73,2205,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.451-05:00,2025-08-14T03:54:26.451-05:00,
17,10.215.173.1,55501,59.14.97.230,23697,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.456-05:00,2025-08-14T03:54:26.659-05:00,
17,10.215.173.1,55501,157.32.83.129,48353,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.468-05:00,2025-08-14T03:54:26.468-05:00,
17,10.215.173.1,55501,46.138.8.98,1274,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.471-05:00,2025-08-14T03:54:26.471-05:00,
17,10.215.173.1,55501,173.66.207.221,35633,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.474-05:00,2025-08-14T03:54:26.474-05:00,
17,10.215.173.1,55501,122.148.220.2,24833,-1,Unknown,unknown,BitTorrent,Closed,,132,345,1,1,2025-08-14T03:54:26.476-05:00,2025-08-14T03:54:26.714-05:00,
17,10.215.173.1,55501,222.69.193.4,6881,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.480-05:00,2025-08-14T03:54:26.724-05:00,
17,10.215.173.1,55501,5.79.191.110,24825,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.486-05:00,2025-08-14T03:54:26.676-05:00,
17,10.215.173.1,55501,106.117.254.185,33287,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.489-05:00,2025-08-14T03:54:26.770-05:00,
17,10.215.173.1,55501,77.51.55.249,45769,-1,Unknown,unknown,BitTorrent,Closed,,132,345,1,1,2025-08-14T03:54:26.495-05:00,2025-08-14T03:54:26.649-05:00,
17,10.215.173.1,55501,185.107.94.14,51500,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.498-05:00,2025-08-14T03:54:26.498-05:00,
17,10.215.173.1,55501,39.187.101.172,15555,-1,Unknown,unknown,BitTorrent,Error,,132,0,1,0,2025-08-14T03:54:26.503-05:00,2025-08-14T03:54:26.503-05:00,
17,10.215.173.1,55501,222.102.41.220,7554,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.506-05:00,2025-08-14T03:54:26.712-05:00,
17,10.215.173.1,55501,183.203.192.173,31833,-1,Unknown,unknown,BitTorrent,Closed,,132,338,1,1,2025-08-14T03:54:26.510-05:00,2025-08-14T03:54:26.807-05:00,
17,10.215.173.1,55501,49.228.198.125,63563,-1,Unknown,unknown,BitTorrent,Closed,,132,324,1,1,2025-08-14T03:54:26.515-05:00,2025-08-14T03:54:26.803-05:00,
17,10.215.173.1,55501,37.194.169.231,3620,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.527-05:00,2025-08-14T03:54:26.527-05:00,
17,10.215.173.1,55501,185.57.29.8,49495,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.537-05:00,2025-08-14T03:54:26.537-05:00,
17,10.215.173.1,55501,138.199.42.160,40825,-1,Unknown,unknown,BitTorrent,Closed,,132,0,1,0,2025-08-14T03:54:26.539-05:00,2025-08-14T03:54:26.539-05:00,
